user_id,item_id
54,680 2082 1043 2275 353 2125 1527 3185 96 2354
55,312 1545 2653 107 488 528 1337 609 801 1272
56,2297 237 2988 1039 3049 798 2626 1937 1172 584
57,308 3604 245 1734 3662 1631 1646 2372 2611 2720
58,2093 2181 399 3427 2782 3191 1925 1862 1672 20
59,741 93 2258 1146 1324 779 2031 22 1543 1223
60,2088 3317 3075 1134 1421 1706 3668 1858 3475 1605
61,1825 2754 3358 2050 3220 1861 3511 2613 2480 3435
62,2732 3049 169 3286 2928 3332 1401 183 3172 3048
63,680 3658 2145 353 2082 1920 2340 3266 2584 1270
64,1562 1700 3506 2730 232 1260 1246 1630 1393 3101
65,185 2455 1092 1836 206 700 1399 1528 2062 2033
66,3598 3660 304 1259 3460 1052 566 313 554 1429
67,2165 454 1804 2817 1324 2557 2258 1638 2493 2922
68,160 1300 472 1593 2519 2557 333 1375 10 1868
69,3206 2900 768 1168 3401 3245 3693 3280 269 913
70,1068 3501 3209 814 3375 3464 118 267 1435 2912
71,2088 2282 880 2148 3075 69 2568 2076 3353 2820
72,2602 2067 543 640 3049 2297 2757 1078 2510 3286
73,1275 1322 151 3196 433 121 899 2836 3223 3004
74,2370 482 3677 2622 2591 598 561 2910 3474 2519
75,3476 382 1770 592 2960 1491 1516 190 605 984
76,640 707 124 2606 1831 3482 2265 305 2054 409
77,1887 2054 2224 2086 2509 37 863 1371 3583 2281
78,228 880 2148 2474 2224 1590 2580 124 69 2820
79,2082 1619 2354 680 3266 1773 3240 628 353 96
80,2345 79 1700 452 3101 1337 1246 1545 312 107
81,2418 3061 3411 2143 2687 485 3483 496 2130 1709
82,1545 1868 2814 3035 2185 174 762 2561 488 1573
83,3049 2501 2256 2297 2630 3668 1376 1211 3059 1001
84,1174 1461 2275 353 899 3648 3161 3345 2145 3294
85,3694 2732 2297 3059 2210 1211 1376 3142 1102 2256
86,474 2221 3113 2969 3213 2662 3282 1073 3606 3051
87,1309 719 3438 3597 2915 1830 3511 2858 621 1004
88,3692 2646 922 494 3418 2470 1376 611 1296 401
89,3272 3013 1316 3409 3153 1223 2617 2847 3562 1928
90,2428 2311 650 1427 1781 2281 221 724 2354 2424
91,204 3526 2636 1848 333 2387 2076 1858 1012 1070
92,3248 3418 2606 740 1912 428 913 3280 1481 2835
93,3101 232 1086 1686 1246 2345 570 3656 1700 3406
94,1840 2308 530 1615 1858 3628 3597 2006 771 1184
95,2768 1099 3327 3036 2250 1640 2468 2342 3550 3238
96,2774 382 1560 1781 2281 2311 650 1827 234 2424
97,708 649 43 168 1081 2510 295 539 964 2529
98,1470 3231 3119 2382 1319 2622 905 465 2139 2933
99,1374 1814 99 3705 1879 583 2239 1711 2999 3592
100,1832 677 530 2960 1814 453 204 361 1227 2129
101,2915 719 1184 166 1193 1218 1703 3669 3438 530
102,3133 2998 2005 1664 875 471 549 1165 979 819
103,3191 3511 2295 728 3544 2012 1512 1696 47 3700
104,1583 3082 2630 732 772 3529 1279 2688 3022 136
105,952 1561 91 1367 2799 3651 725 3439 1085 2854
106,293 2129 3046 1809 2757 2980 3238 1490 1365 2222
107,69 2054 2265 138 476 2528 1831 640 124 707
108,870 383 1828 1098 2248 1593 3122 936 1410 3364
109,1272 1517 1839 1044 792 801 739 3503 1426 107
110,1205 494 3692 401 3151 132 3131 1859 2745 1946
111,3474 3402 1341 361 561 3116 1840 1814 37 2636
112,2960 2291 106 1491 3021 453 3432 2801 190 3465
113,3423 3151 3269 1638 2258 3013 2862 1543 2493 2828
114,2231 1153 1355 998 2566 3073 3309 797 2029 3139
115,110 2592 2801 2915 3670 1124 2604 3421 1353 176
116,1518 3381 755 3511 1621 3194 2132 1861 1252 3667
117,3256 1510 2132 1350 3002 3133 1670 482 983 3463
118,2402 2281 467 2528 1811 120 2327 132 1670 186
119,3423 1638 2258 3151 1223 741 1186 3424 1543 1146
120,2606 1615 3367 463 428 568 409 289 2128 2265
121,292 3544 3204 2181 1044 1252 493 3050 1603 3371
122,2553 2643 357 2572 2466 796 3478 438 2327 245
123,400 1111 57 2781 2533 579 3210 3564 1941 1290
124,1248 830 304 2338 2397 1007 1149 2194 1510 3358
125,402 3371 333 1216 3335 1868 2653 3670 1858 1830
126,1365 3597 3046 2589 2129 382 1429 1672 2801 304
127,2534 2646 3694 1011 2732 2210 922 763 2327 2630
128,772 971 2366 3529 1279 2646 2488 2501 279 320
129,2602 3172 1858 3628 3476 289 3350 3482 2282 3402
130,3151 184 1011 3269 3013 2474 1186 3423 1403 652
131,1781 2311 234 1827 2428 650 221 2572 2916 2281
132,1504 3171 2587 663 1821 3609 1645 3366 3000 3557
133,394 52 563 1044 983 3294 2397 1861 743 1160
134,3479 1375 2519 1553 3243 598 2956 2122 1428 429
135,496 3483 1839 2553 1603 1958 3411 2146 315 3588
136,2237 2275 1527 3071 394 1092 1160 2644 83 3161
137,3423 1505 3022 3692 1039 2327 3424 1583 132 3151
138,2308 1858 3255 1025 2306 1792 1840 677 2122 658
139,3609 1504 3000 2556 917 1069 2961 1398 2246 29
140,1560 221 1781 382 2774 650 794 234 1827 2311
141,1044 1936 3335 1603 3544 2338 2541 402 3670 1504
142,3151 3269 1011 472 3013 2828 1360 2603 1186 2688
143,1246 2914 79 1393 1251 3101 570 350 1686 725
144,1707 3557 2165 3000 3638 1051 3298 237 3227 663
145,2795 3598 2159 52 1160 394 35 3667 563 1795
146,3600 1337 3231 2132 2110 3656 3628 652 2732 2256
147,2596 3005 3036 3046 1956 293 1892 2161 1096 1248
148,3692 2798 772 3424 279 1011 2828 1946 3418 2067
149,470 1429 2912 176 717 950 3599 1705 1124 1672
150,617 1504 1036 3701 3000 1573 1070 3340 160 782
151,2757 208 2626 3528 543 1746 944 3317 2328 3441
152,977 2418 1462 213 878 2687 1836 1247 1680 1529
153,1057 2570 253 3668 184 3557 454 1858 2070 1590
154,3526 1858 2088 790 3317 147 2086 3668 3264 1592
155,208 476 640 1831 584 69 2757 3529 3367 2129
156,428 740 3514 1168 475 553 3401 768 2835 913
157,2862 463 2273 1916 2006 732 184 2557 772 1830
158,428 1912 740 214 3245 1481 3418 399 2128 3280
159,1124 1259 2801 3403 3463 1353 2706 677 2108 2364
160,2934 2587 3489 3338 663 784 1652 3696 2319 307
161,569 601 3382 2470 2256 2292 2413 3159 2840 1401
162,93 779 870 1487 573 236 2165 2230 1804 3151
163,3423 3013 1543 2862 1638 741 3153 3269 3151 796
164,1681 35 428 3384 2354 3565 3514 3218 1168 2204
165,2132 1633 1668 1377 1052 2639 1887 3600 3057 3168
166,3013 2564 3272 3153 472 1560 1316 2862 409 124
167,983 2397 394 331 797 734 3194 1501 3381 711
168,2090 1905 1770 2048 3021 2338 984 3097 2475 3657
169,561 1341 2306 1227 3535 2308 2769 361 1800 3086
170,3382 922 2664 2732 790 1057 1102 1912 2646 1376
171,3204 2739 3335 3544 525 1666 1044 2541 3006 1550
172,1688 3353 1227 1304 2107 1800 677 2088 2568 3075
173,1337 3600 1887 3529 1831 463 3694 1272 1422 1668
174,2608 797 2952 1777 2566 3271 3355 3574 83 2181
175,620 10 2116 498 2009 750 523 1715 187 375
176,1814 2874 2140 1365 3534 1491 3327 1546 3238 3597
177,892 3665 1011 1140 1592 6 3694 3059 2534 2570
178,269 3401 2835 768 1168 1414 2900 3248 740 913
179,2009 750 10 375 395 2116 2091 2477 3062 523
180,764 2576 542 1773 2887 2923 0 1635 919 366
181,93 3151 2493 3013 472 1560 2828 2510 2165 1315
182,779 573 2230 1487 2165 2258 1354 620 10 3409
183,650 376 3238 2222 1365 293 3463 2186 2338 1956
184,2063 1652 1725 3338 2934 663 3532 2176 1070 1391
185,2914 1251 1700 2274 2561 570 3406 232 1545 150
186,93 779 498 2710 3013 2230 3062 1223 1410 3424
187,1688 2282 2006 1738 3255 568 2474 2076 513 3493
188,740 2136 269 428 3514 3384 3218 475 254 1034
189,2198 1188 806 3598 1708 1303 17 568 2900 1168
190,1298 2069 517 1504 3700 782 1644 1563 974 2246
191,1912 2054 1102 2732 1946 1376 2528 1811 1083 922
192,741 3151 2258 3013 3269 1146 796 2493 2798 2557
193,2354 512 650 1427 1086 3687 2311 2625 2281 1687
194,2510 184 124 1011 1186 93 3423 2493 2154 707
195,3355 817 168 1915 1627 3235 3435 2538 1777 300
196,3628 3253 989 382 3600 1456 1893 1348 2512 3610
197,498 620 2230 10 2293 3409 3013 779 573 2603
198,3182 1174 2597 899 366 2946 163 1635 679 3469
199,1700 79 1246 3101 350 1393 2476 1813 1562 3506
200,3215 474 2458 3480 2272 2969 3325 1477 3202 1073
201,3125 1855 512 2501 618 3049 2784 3409 2616 3269
202,214 208 3248 771 2967 1172 109 3418 82 543
203,833 2780 1893 1538 1501 2500 1377 711 549 172
204,88 304 3253 2697 1456 549 221 382 819 1404
205,3694 2210 640 1560 476 3529 1223 3022 707 1831
206,2613 3358 2480 2485 3435 1956 1007 1248 563 3318
207,2273 771 331 957 2620 904 1830 2337 1738 1916
208,3000 109 1295 3262 2877 2967 1373 253 82 2776
209,1545 782 1044 1868 1640 1233 1096 1830 1937 609
210,1260 1562 2614 232 2467 1616 1813 2518 1864 3506
211,1376 3059 2297 1211 2256 922 2646 3142 2630 1102
212,640 476 2847 3441 208 584 2757 3529 138 1475
213,1545 2653 2980 3534 1337 650 2129 3046 2338 1640
214,3606 168 625 2342 2279 2529 3203 539 1201 2090
215,2447 3648 3000 1044 3700 2338 2763 1504 965 1100
216,3665 1858 513 2154 3317 790 1658 2389 2297 1592
217,2059 2161 754 817 517 1336 3052 1100 1059 2592
218,1836 185 2275 1399 624 2420 3471 1519 2455 1261
219,1086 1337 452 3577 3656 1868 2561 2586 1459 802
220,2874 1374 1879 99 3234 339 212 583 3705 1471
221,817 2538 2140 168 754 300 1149 1627 2643 2480
222,966 3674 502 2295 47 3408 3095 581 2483 1512
223,1781 1699 619 2840 3293 2068 1818 1096 2593 1801
224,1545 1517 802 2338 1573 1272 801 174 107 3311
225,983 394 1100 2181 1619 2140 1518 734 3194 3191
226,3264 3436 2382 3475 1463 2261 423 1428 1030 3016
227,1527 1092 680 213 2354 2698 1773 1836 353 1043
228,2145 2340 1920 353 680 1067 563 1270 3658 3266
229,823 3216 1142 2290 387 355 3652 1340 3287 3229
230,3000 253 3298 2636 3696 1707 2335 1051 3338 3227
231,1134 3475 3644 2073 2570 2474 892 1439 3665 3705
232,3151 1657 1186 1638 2258 1543 3424 1011 2493 741
233,3151 2258 1205 2828 1997 3638 1487 3423 184 2165
234,3474 183 1341 2636 1814 3535 1304 863 2306 1840
235,402 1936 3544 1830 3670 609 493 1272 1839 1044
236,2946 2412 2456 2060 163 3545 2262 464 2924 433
237,3269 2817 1487 472 1376 132 1859 1279 2556 798
238,2067 772 1011 1511 2488 3423 2534 6 1403 279
239,584 3441 208 2129 771 2175 2757 293 3238 3046
240,2265 2088 2282 1858 138 2568 707 2606 2054 1706
241,248 2180 219 335 791 911 3293 1818 3200 3388
242,1504 1644 3700 2153 1309 252 965 2447 3659 974
243,1223 124 3013 707 305 3153 69 3529 652 120
244,1191 1287 3660 904 394 2397 2186 983 1510 313
245,652 3116 476 2474 809 406 640 2265 1371 138
246,2653 1545 801 1517 488 2185 1086 810 2205 2814
247,1315 2224 809 1811 3583 2281 2591 2086 1371 538
248,2328 1788 944 793 1304 7 2424 2342 2980 293
249,1367 1426 71 107 739 3600 1355 1337 3101 2756
250,3101 2476 350 2518 1822 2023 709 570 1813 2730
251,2363 702 1549 2865 1754 2185 1902 2799 802 3404
252,2967 3317 208 3248 543 3528 2328 2424 1030 2626
253,2568 1858 1688 2128 1453 3353 2474 3075 289 2399
254,1216 3335 1868 2541 402 3670 1300 2763 333 1375
255,3000 253 974 2556 1504 3609 29 917 1069 1586
256,2006 2273 1916 1615 2297 1134 2620 3493 529 745
257,1811 2281 2528 3198 3692 1315 452 1887 3418 401
258,3151 1186 1315 1223 1638 2165 3423 2402 132 3638
259,2136 2480 1912 428 3565 475 1681 3418 2900 740
260,1149 2538 3335 817 2136 3438 2140 1627 3597 534
261,110 74 2860 3463 1124 2801 2604 3670 1738 3421
262,2952 67 2695 3355 2325 1777 288 959 2358 1558
263,3588 3323 2262 1397 3202 231 3223 52 3325 3091
264,3355 1603 2208 1915 1958 1231 315 3177 2109 2608
265,3406 232 79 452 1337 3600 1246 1868 2023 1700
266,2227 702 802 1549 1902 2363 762 3439 1687 1670
267,3454 679 2644 3588 433 1087 1514 366 2878 967
268,107 2653 802 312 3656 1517 1884 609 488 1086
269,2800 1083 1553 1134 1296 3475 1001 2956 1293 1658
270,1700 1246 79 2345 3101 3406 350 1686 2467 1813
271,3345 563 1248 2485 2059 394 1096 2161 3550 1959
272,1513 3665 2609 355 1011 3668 147 3551 777 6
273,2470 2609 1912 401 1011 494 2224 2673 2664 3418
274,1039 3151 1560 472 409 3022 3423 3142 2828 2165
275,3013 3153 3409 2265 2564 3272 409 707 124 1560
276,3151 1657 3423 1011 320 772 1205 3424 3269 2258
277,1216 1858 1300 2541 2980 1848 3335 3204 402 3050
278,3668 3141 1592 169 1011 2256 2570 1657 3142 761
279,2340 2916 1479 340 859 155 1698 438 708 1043
280,3234 212 1018 1956 3358 1510 3220 16 1108 3511
281,527 3365 1422 2432 549 528 1460 429 2682 3090
282,254 3384 3514 3565 3374 1034 2900 553 3218 2204
283,3215 220 3213 2969 3113 2662 474 2768 1690 1073
284,2297 1583 2366 2534 3022 2501 1592 2688 2357 2256
285,1421 2898 1012 785 1792 106 3286 1731 3482 3562
286,1782 931 1341 3474 2261 1814 1463 1428 1178 3673
287,36 1223 1505 3424 772 2327 3151 741 2862 1279
288,1043 697 35 3360 3300 1067 3087 296 2993 3602
289,2176 782 3700 204 784 1289 2587 1051 3415 2059
290,213 3240 1527 1836 700 1773 3185 1092 1043 2819
291,1811 2265 409 2224 2054 2528 1887 707 3272 2281
292,762 3404 2799 1367 91 71 1426 1754 1272 405
293,3671 3670 289 3421 1124 1259 658 2272 2801 719
294,1269 1092 1836 1433 1399 1529 3185 1519 992 213
295,2710 2817 498 1324 136 2974 1406 1487 449 3516
296,1670 1623 3439 1464 1549 1686 2185 3404 2363 2865
297,680 2899 96 2082 353 2158 3658 3266 3410 1076
298,1365 3046 293 2222 650 2175 1490 176 1124 1809
299,1700 1246 3406 3101 2023 350 2476 1822 1813 2730
300,168 708 1081 170 3606 539 2090 649 2215 295
301,212 2874 646 1471 1956 915 3705 339 3049 220
302,3013 1487 472 3533 93 160 10 779 3269 620
303,382 2424 1427 887 221 2354 2281 512 2428 234
304,691 1738 2452 1688 3370 3086 1796 3403 2947 3367
305,3474 3402 3535 931 1782 1428 2306 2308 863 361
306,2474 454 2389 2570 184 652 1590 2054 498 2073
307,2023 2730 1246 1813 2518 1822 2476 1630 570 2227
308,1223 2862 472 3013 3153 3409 1316 1560 3529 2564
309,400 239 1054 1111 3589 838 2781 57 1941 1994
310,476 1831 208 138 584 3529 771 732 2129 2980
311,312 1545 1272 3656 174 1686 1517 1573 3311 3187
312,3215 119 3060 283 3053 398 1216 3172 2541 16
313,1186 1039 1044 2485 1956 2338 563 136 2281 2596
314,254 35 2136 3565 3002 2237 3435 3087 755 983
315,2538 2291 300 2140 1627 168 3042 859 872 1149
316,3256 3133 2574 1670 2068 1510 482 1350 120 1754
317,1868 467 872 340 3670 3101 609 2345 3600 1179
318,1011 124 2265 6 2534 1403 2528 69 3668 2488
319,2129 3046 3463 650 2222 3238 1809 293 3036 3005
320,802 107 2653 1337 810 3656 1687 1902 778 1086
321,790 169 2256 69 124 3023 2664 3141 1102 1924
322,1956 3598 3238 771 2732 904 2186 568 1809 3367
323,340 1777 3002 2695 2952 3055 2076 933 2529 7
324,3597 3111 1678 2376 2024 1193 3669 947 923 3608
325,1840 2457 1134 2073 367 1765 936 3116 3535 1858
326,119 1546 2468 1216 493 3215 3053 2342 2326 1374
327,1039 2297 563 1825 2646 2050 1211 1044 1248 2237
328,3648 1644 252 2447 1198 1309 1507 3462 1298 873
329,2528 1315 2402 2224 3583 809 883 1371 2509 2086
330,1197 1699 1736 1216 2292 3068 1516 3110 474 3066
331,3355 1777 1915 2952 3271 3002 2608 3574 288 3565
332,2975 43 708 168 2063 3091 1464 2529 2215 2090
333,1545 2814 802 3035 1868 2561 2653 1086 1884 488
334,2397 331 983 868 394 3695 3608 1587 1501 1621
335,3049 99 2874 1711 3234 1471 3705 1814 1127 1001
336,768 3280 2835 1295 2093 3401 2136 2990 2942 269
337,983 1198 1518 797 711 3695 3690 2153 2104 2093
338,1868 2653 1545 3187 1517 1272 739 2771 801 2338
339,823 1812 409 2474 2609 3665 652 228 1511 971
340,1270 890 2077 2485 1825 563 1920 1067 3435 3318
341,2538 872 2140 1627 1655 3669 3597 2117 3438 2024
342,2265 2474 228 652 2031 1706 92 3173 124 120
343,810 1545 107 1687 2653 2574 802 1670 1367 452
344,3005 1365 3046 1096 2860 2222 1191 304 818 2186
345,1746 944 293 2757 2175 771 584 1304 2980 3441
346,1545 802 1573 2814 702 1868 3035 488 1902 2653
347,168 625 3335 3513 3091 2221 539 246 583 3203
348,457 845 1160 3591 313 818 3021 121 3660 621
349,2033 3530 904 2198 3598 3685 743 1044 1303 3435
350,743 3598 2618 566 2485 3667 2159 35 3602 1160
351,2069 1298 776 1644 1100 75 1507 873 833 1563
352,3182 533 206 3545 163 3454 366 679 1357 1622
353,578 2484 438 1278 1736 2920 2902 3701 3205 104
354,3528 2424 3441 1746 1304 1788 902 189 3098 1271
355,3600 3276 399 463 1747 176 1858 1082 487 246
356,2617 2947 333 691 3390 2169 1928 3272 2847 1788
357,1861 3318 3234 3220 1067 1825 1018 1044 212 2584
358,3668 3652 3665 3287 1142 2474 387 2933 2067 190
359,971 3668 2277 2366 355 2080 3382 409 3665 1142
360,2345 1884 79 3101 1868 232 452 1337 3035 3600
361,1814 1711 220 790 1879 169 1030 183 3022 1083
362,293 3036 650 3046 1304 1809 793 2860 2980 1490
363,185 1092 2385 3593 2782 2899 3185 1399 274 1290
364,289 138 1688 2399 1858 2088 1706 3402 2076 305
365,463 1615 2862 3529 2297 1956 1583 1039 2474 36
366,1316 2293 3013 28 1997 3272 3409 1548 1930 3537
367,2687 2146 3061 195 3588 1457 2559 3157 3411 1431
368,1030 1747 1808 20 2960 2112 2195 3677 481 2928
369,496 2418 1071 3483 1603 2687 2143 3061 485 1839
370,3317 3264 408 451 2277 251 1571 3652 674 392
371,3665 6 3668 3132 892 1403 2290 823 1340 3216
372,3668 3665 892 513 6 1592 451 2036 1340 3264
373,1112 1399 17 2455 358 1092 130 1269 1836 1261
374,467 3256 3474 3002 2237 300 168 3019 2480 246
375,3187 1272 1060 174 1517 801 488 3485 739 1426
376,220 3049 99 1374 2857 2874 169 339 646 1956
377,3272 3365 2617 2947 1164 3390 1997 28 1030 1140
378,3474 3535 561 1341 863 1382 2960 3390 188 37
379,1030 2261 1463 790 361 2757 584 2980 3276 208
380,52 2252 1471 90 1179 3202 2597 1861 16 3606
381,1044 1920 2145 2077 3411 501 2003 1703 563 3209
382,3565 3374 254 3514 35 2900 3218 1034 3299 3530
383,2763 1725 2596 233 3532 1289 646 2934 372 1854
384,3142 1102 1296 2933 1797 1134 2327 3646 1205 6
385,1009 1087 1704 2644 873 2202 2734 356 2878 1823
386,1781 1165 88 1456 1404 304 1932 188 986 2402
387,472 2564 3013 3153 3409 409 1316 22 1543 2265
388,3150 387 3665 3436 2683 1292 3652 1134 3317 423
389,2222 3046 1365 304 3005 1175 1124 1809 3021 2129
390,2988 63 237 1172 3219 512 136 2588 2645 1648
391,2659 493 3050 1640 3053 737 3215 2468 3172 2980
392,2533 3096 1054 57 978 1111 838 2782 1290 684
393,740 1168 428 553 3248 1982 1912 2136 3280 2990
394,1197 2840 1699 3110 1516 1736 2292 3066 2541 2470
395,3569 1830 3438 3111 2397 3597 1309 1193 719 315
396,220 2261 931 1040 1814 1463 1428 581 1782 3528
397,543 2626 2602 3049 2659 1913 2757 2633 2928 2314
398,237 2988 2664 136 3049 1211 1039 1711 2328 2646
399,620 523 573 10 3653 498 375 3125 93 2230
400,301 331 2397 1798 983 1587 176 734 2700 902
401,143 1604 306 1656 1383 2876 2708 2755 3130 2852
402,1057 1655 450 1428 151 3067 1615 2308 1777 2412
403,293 3036 2175 3046 1099 3441 793 2980 3327 1809
404,428 768 1168 3401 3248 3280 2136 2835 475 3693
405,598 561 1840 2636 863 3535 1341 183 361 3116
406,700 1836 1092 2082 213 1269 2354 185 2979 296
407,3597 530 872 3367 2308 1184 166 1840 2915 204
408,2924 1876 2146 755 2143 2181 2601 2555 434 32
409,355 3609 3 1318 1544 1764 2922 448 3594 3523
410,1868 3600 107 1545 3276 2345 3311 3187 1459 1086
411,1011 3382 3694 2603 971 2745 640 124 476 2732
412,2227 1367 456 2363 1670 702 3487 762 2257 1549
413,899 52 3588 151 2412 2456 163 2943 3374 1957
414,1568 3528 2328 2967 208 1078 3317 1271 1337 1172
415,2054 2281 1315 2528 3142 472 2224 922 2646 2664
416,136 3219 2812 2817 1186 2988 3180 3022 1172 2588
417,3411 195 3657 2291 3602 1905 2593 3061 2338 984
418,106 1828 190 870 2510 1351 93 1491 3465 779
419,467 186 1082 1510 857 2402 1670 2376 2342 2975
420,1638 93 1279 779 796 3151 1487 1186 2165 3653
421,2275 1043 1529 2455 697 2993 296 35 3300 3002
422,2140 2117 2480 3306 3335 2917 166 3327 467 1149
423,2763 3526 3532 2279 1362 2773 2161 73 646 2592
424,474 1197 2038 3068 2413 1216 1736 1699 853 465
425,3049 1292 2626 169 2757 2602 2928 3286 3665 3296
426,3699 980 3007 3658 668 1479 2158 3009 680 2138
427,6 3142 892 761 2534 225 1797 3216 3665 3668
428,2501 570 488 1545 2185 1754 3473 1617 1686 1640
429,124 2265 69 1950 989 305 1858 1590 2820 3365
430,3151 1638 2564 3693 3382 3013 3272 2277 10 2512
431,457 3209 3411 1068 1422 2593 1052 2132 2003 2271
432,2265 2528 69 652 2820 305 1858 2474 138 228
433,1324 357 3516 256 620 1598 2709 573 796 2293
434,3670 658 3463 2915 3255 1218 1259 1738 176 1492
435,1092 700 1433 764 3520 213 1269 1529 3240 1519
436,1315 1560 124 2528 3529 640 1831 707 3272 1223
437,1905 2048 3657 984 3021 2090 382 3097 2475 605
438,1427 382 2424 234 2428 887 2281 2354 512 221
439,1279 796 2709 1186 3456 232 375 741 1952 2493
440,640 476 208 1746 1615 584 138 293 2129 2757
441,2224 2591 1887 2509 809 1927 1315 1371 2054 2402
442,3415 3600 3231 1633 1377 905 1668 1887 3690 3119
443,1150 3671 1669 474 3534 2458 2272 1525 3215 3606
444,494 2673 1859 2470 3105 829 2410 1177 1775 2745
445,2275 1836 185 213 1527 700 1212 2455 1529 2082
446,1868 1545 1337 2653 3600 107 312 452 1086 3311
447,762 2227 3344 570 1549 2865 3030 2363 1545 1623
448,3355 151 2252 2836 3574 3588 2323 3223 1957 121
449,3423 772 3424 2953 1360 494 2067 1548 1205 1859
450,52 3588 464 831 121 2946 352 2559 3648 915
451,3355 1603 3235 2208 2181 3157 2325 642 3345 1314
452,707 409 2265 1831 2054 2847 69 652 1811 2224
453,1603 1314 3157 534 1032 1201 2208 3345 182 3483
454,1549 702 1902 2185 2865 1687 3439 2799 810 1623
455,2617 94 2947 119 950 3656 2515 793 3406 1691
456,228 2606 880 409 652 2692 2474 2847 69 120
457,794 1371 3431 1560 901 2722 1475 2643 3157 1781
458,2774 1781 1371 234 2572 1315 2311 382 1827 3157
459,1638 1487 3151 2165 573 1804 2835 1997 3013 1186
460,93 779 3151 1638 3013 472 3269 2165 618 2258
461,1371 2643 3431 3701 1278 2722 2774 2266 3157 901
462,1325 911 3171 2659 63 537 3277 2884 794 649
463,873 195 185 352 3483 3161 3182 2553 3588 2559
464,382 1781 234 650 2311 221 2428 1560 1427 724
465,304 2159 1287 2716 1191 1096 1175 2338 904 672
466,3656 2387 2892 607 1858 2037 2519 1868 133 2991
467,2256 569 1516 601 1699 2470 3110 2127 3066 1197
468,3415 3168 1377 2639 1887 1633 1052 3231 3690 427
469,2354 1947 1427 382 2625 3687 1086 887 2281 2870
470,3194 2527 2140 20 3335 3191 2534 1078 399 1498
471,174 1754 3124 2227 3439 1549 952 702 978 2185
472,474 3213 3215 2221 1073 2969 220 3282 3113 1525
473,2814 802 2561 3035 1868 452 2653 1573 107 389
474,1633 1377 3600 1887 1422 1668 989 3690 3168 1272
475,36 2789 796 3022 472 732 618 741 3423 1279
476,1545 802 2653 810 702 1086 1868 79 3656 2814
477,37 561 598 1304 863 2910 1371 3474 3353 3402
